調査年,地域,/項目,M2001_2次活動の平均時間（10歳以上）（男）【分】,M200100_2次活動の平均時間（15歳以上）（男）【分】,M200110_2次活動の平均時間（15～24歳）（男）【分】,M200120_2次活動の平均時間（25～34歳）（男）【分】,M200130_2次活動の平均時間（35～44歳）（男）【分】,M200140_2次活動の平均時間（45～54歳）（男）【分】,M200150_2次活動の平均時間（55～64歳）（男）【分】,M200160_2次活動の平均時間（65～74歳）（男）【分】,M200170_2次活動の平均時間（75歳以上）（男）【分】,M2002_2次活動の平均時間（10歳以上）（女）【分】,M200200_2次活動の平均時間（15歳以上）（女）【分】,M200210_2次活動の平均時間（15～24歳）（女）【分】,M200220_2次活動の平均時間（25～34歳）（女）【分】,M200230_2次活動の平均時間（35～44歳）（女）【分】,M200240_2次活動の平均時間（45～54歳）（女）【分】,M200250_2次活動の平均時間（55～64歳）（女）【分】,M200260_2次活動の平均時間（65～74歳）（女）【分】,M200270_2次活動の平均時間（75歳以上）（女）【分】
2021年度,千葉県,,413,414,415,514,512,537,441,271,155,413,414,423,477,506,513,451,353,212
2016年度,千葉県,,426,428,469,494,567,531,458,249,147,425,426,425,494,531,518,449,335,235
2011年度,千葉県,,420,423,430,510,573,547,402,202,115,420,422,432,521,504,499,421,328,192
2006年度,千葉県,,438,444,427,520,571,539,421,250,135,434,436,461,487,524,515,423,336,202
2001年度,千葉県,,427,430,403,519,540,490,408,205,104,422,426,430,491,483,496,414,300,181
1996年度,千葉県,,438,445,423,506,536,499,420,224,111,440,443,440,503,534,486,418,321,155
1991年度,千葉県,,,453,418,524,530,500,415,230,118,,474,469,525,554,523,454,310,160
1986年度,千葉県,,,481,459,,,,,,,,489,489,,,,,,
1981年度,千葉県,,,484,478,,,,,,,,478,483,,,,,,
